DATE,DEXJPUS
1973-06-01,264.06
1973-06-04,262.88
1973-06-05,262.88
1973-06-06,264.13
1973-06-07,264.27
1973-06-08,264.41
1973-06-11,264.69
1973-06-12,264.69
1973-06-13,264.62
1973-06-14,264.69
1973-06-15,264.69
1973-06-18,264.69
1973-06-19,264.83
1973-06-20,264.97
1973-06-21,265.04
1973-06-22,265.04
1973-06-25,265.18
1973-06-26,265.18
1973-06-27,265.18
1973-06-28,265.18
1973-06-29,263.16
1973-07-02,265.25
1973-07-03,265.04
1973-07-04,.
1973-07-05,265.11
1973-07-06,262.12
1973-07-09,259.40
1973-07-10,263.16
1973-07-11,264.83
1973-07-12,264.76
1973-07-13,265.04
1973-07-16,265.11
1973-07-17,265.25
1973-07-18,265.11
1973-07-19,265.18
1973-07-20,265.60
1973-07-23,266.17
1973-07-24,265.60
1973-07-25,265.53
1973-07-26,265.60
1973-07-27,264.76
1973-07-30,263.57
1973-07-31,263.44
1973-08-01,263.44
1973-08-02,264.76
1973-08-03,265.39
1973-08-06,265.11
1973-08-07,265.25
1973-08-08,265.18
1973-08-09,265.11
1973-08-10,265.25
1973-08-13,265.46
1973-08-14,265.46
1973-08-15,265.46
1973-08-16,265.39
1973-08-17,265.53
1973-08-20,265.60
1973-08-21,265.18
1973-08-22,265.25
1973-08-23,265.25
1973-08-24,265.25
1973-08-27,265.32
1973-08-28,265.32
1973-08-29,265.32
1973-08-30,265.39
1973-08-31,265.39
1973-09-03,.
1973-09-04,265.46
1973-09-05,265.39
1973-09-06,265.39
1973-09-07,265.39
1973-09-10,265.39
1973-09-11,265.46
1973-09-12,265.60
1973-09-13,265.60
1973-09-14,265.60
1973-09-17,265.53
1973-09-18,265.53
1973-09-19,265.46
1973-09-20,265.39
1973-09-21,265.25
1973-09-24,265.39
1973-09-25,265.46
1973-09-26,265.53
1973-09-27,265.60
1973-09-28,265.60
1973-10-01,265.60
1973-10-02,265.75
1973-10-03,265.89
1973-10-04,265.96
1973-10-05,266.17
1973-10-08,.
1973-10-09,266.31
1973-10-10,266.31
1973-10-11,266.24
1973-10-12,266.24
1973-10-15,266.45
1973-10-16,266.45
1973-10-17,266.38
1973-10-18,266.31
1973-10-19,266.38
1973-10-22,.
1973-10-23,266.45
1973-10-24,266.38
1973-10-25,266.45
1973-10-26,266.67
1973-10-29,266.74
1973-10-30,266.95
1973-10-31,266.95
1973-11-01,270.27
1973-11-02,276.01
1973-11-05,275.18
1973-11-06,.
1973-11-07,275.18
1973-11-08,275.25
1973-11-09,275.33
1973-11-12,275.25
1973-11-13,280.19
1973-11-14,280.66
1973-11-15,280.27
1973-11-16,280.11
1973-11-19,280.11
1973-11-20,280.43
1973-11-21,280.11
1973-11-22,.
1973-11-23,280.66
1973-11-26,280.11
1973-11-27,280.11
1973-11-28,279.80
1973-11-29,280.11
1973-11-30,280.11
1973-12-03,280.11
1973-12-04,280.11
1973-12-05,280.11
1973-12-06,280.11
1973-12-07,280.11
1973-12-10,280.11
1973-12-11,280.11
1973-12-12,280.03
1973-12-13,280.11
1973-12-14,280.11
1973-12-17,280.11
1973-12-18,280.11
1973-12-19,280.11
1973-12-20,280.11
1973-12-21,280.11
1973-12-24,280.35
1973-12-25,.
1973-12-26,280.27
1973-12-27,280.66
1973-12-28,280.43
1973-12-31,280.27
1974-01-01,.
1974-01-02,280.82
1974-01-03,283.69
1974-01-04,282.09
1974-01-07,300.30
1974-01-08,299.94
1974-01-09,299.94
1974-01-10,299.94
1974-01-11,300.03
1974-01-14,300.12
1974-01-15,300.12
1974-01-16,300.12
1974-01-17,300.12
1974-01-18,300.12
1974-01-21,305.34
1974-01-22,304.88
1974-01-23,303.58
1974-01-24,300.12
1974-01-25,299.80
1974-01-28,299.85
1974-01-29,300.03
1974-01-30,299.22
1974-01-31,298.77
1974-02-01,298.86
1974-02-04,297.00
1974-02-05,293.69
1974-02-06,297.62
1974-02-07,296.82
1974-02-08,296.30
1974-02-11,295.51
1974-02-12,.
1974-02-13,291.89
1974-02-14,291.55
1974-02-15,293.17
1974-02-18,.
1974-02-19,290.11
1974-02-20,289.02
1974-02-21,282.09
1974-02-22,280.58
1974-02-25,283.37
1974-02-26,286.53
1974-02-27,287.03
1974-02-28,288.43
1974-03-01,292.06
1974-03-04,292.74
1974-03-05,289.44
1974-03-06,287.03
1974-03-07,286.86
1974-03-08,287.19
1974-03-11,285.71
1974-03-12,281.69
1974-03-13,282.33
1974-03-14,282.89
1974-03-15,282.49
1974-03-18,281.93
1974-03-19,280.98
1974-03-20,280.19
1974-03-21,279.10
1974-03-22,276.78
1974-03-25,275.18
1974-03-26,274.88
1974-03-27,275.48
1974-03-28,274.42
1974-03-29,276.09
1974-04-01,280.11
1974-04-02,275.48
1974-04-03,275.86
1974-04-04,278.32
1974-04-05,279.33
1974-04-08,278.01
1974-04-09,279.25
1974-04-10,278.01
1974-04-11,276.78
1974-04-12,278.55
1974-04-15,278.55
1974-04-16,276.93
1974-04-17,276.40
1974-04-18,276.40
1974-04-19,276.93
1974-04-22,277.39
1974-04-23,275.56
1974-04-24,276.24
1974-04-25,278.16
1974-04-26,279.80
1974-04-29,279.33
1974-04-30,279.64
1974-05-01,279.41
1974-05-02,279.96
1974-05-03,279.80
1974-05-06,279.41
1974-05-07,279.56
1974-05-08,277.62
1974-05-09,277.62
1974-05-10,277.62
1974-05-13,277.62
1974-05-14,277.78
1974-05-15,277.39
1974-05-16,277.62
1974-05-17,277.70
1974-05-20,278.24
1974-05-21,279.10
1974-05-22,279.88
1974-05-23,279.56
